,purebred,age_upon_intake,sterilized_upon_intake,time_at_shelter,age_upon_outcome,sterilized_upon_outcome,is_dog,is_male,breed1_ec,breed2_ec,col1_ec,col2_ec,in_type_ec,in_cond_ec,out_type_ec
2805,False,1,False,13,1.0,True,True,False,1,0,1,3,0,0,1
2806,False,3,True,0,3.0,True,False,True,91,0,2,0,1,0,0
2807,False,2,True,0,2.0,True,True,False,6,52,5,2,0,0,0
2808,True,1,False,4,1.0,False,True,False,22,0,0,0,0,2,3
2809,False,4,False,4,4.0,True,True,True,3,0,1,3,0,0,1
2810,True,1,False,6,1.0,True,True,False,6,0,5,3,0,0,1
2811,False,1,False,5,1.0,False,False,True,4,0,2,0,0,0,3
2812,False,4,True,6,4.0,True,False,True,50,0,5,2,0,0,0
2813,False,1,False,11,1.0,True,True,True,12,0,5,0,0,0,1
2814,False,4,False,124,4.0,True,True,True,41,0,5,2,0,0,1
2815,False,4,True,9,4.0,True,True,False,6,0,1,3,2,0,0
2816,True,1,False,0,1.0,False,True,True,12,0,5,3,0,0,0
2817,False,8,True,1,8.0,True,True,False,86,11,5,0,0,0,0
2818,False,18,True,16,18.0,True,True,False,39,0,5,2,0,0,0
2819,False,3,False,12,3.0,False,True,True,38,0,5,3,0,0,0
2820,False,10,False,1,10.0,False,False,True,50,0,4,0,0,0,0
2821,False,3,False,2,3.0,True,True,True,12,0,5,3,0,0,0
2822,False,10,True,20,10.0,True,True,False,148,0,1,0,0,2,1
2823,False,13,True,2,13.0,True,False,False,50,0,4,2,1,0,1
2824,False,3,True,7,3.0,True,True,True,12,0,5,3,0,0,1
2825,False,2,False,10,2.0,True,True,True,3,0,2,0,0,0,1
2826,False,4,True,15,4.0,True,True,False,28,0,3,0,1,7,3
2827,False,1,False,106,1.0,True,True,True,1,3,1,0,0,0,1
2828,False,7,True,5,7.0,True,True,False,32,8,5,2,0,0,1
2829,False,1,False,64,1.0,True,False,False,50,0,3,0,1,0,1
2830,False,0,False,4,0.0,True,True,True,17,0,5,6,0,0,1
2831,False,9,True,8,9.0,True,True,False,43,0,5,2,1,0,1
2832,False,0,False,4,0.0,True,False,False,4,0,3,0,0,0,1
2833,False,5,False,14,5.0,True,True,True,3,0,5,3,0,2,1
2834,False,1,False,246,1.0,True,True,True,1,0,5,3,0,0,1
2835,False,0,True,4,0.0,True,True,False,1,0,5,3,0,0,1
2836,True,6,False,6,6.0,False,True,True,131,0,5,3,2,0,0
2837,False,0,True,12,0.0,True,False,False,4,0,0,0,0,0,1
2838,False,0,False,1,0.0,True,True,False,6,0,5,2,1,0,1
2839,False,2,True,1,2.0,True,True,False,21,3,5,2,1,0,1
2840,False,6,True,7,6.0,True,True,True,3,0,2,0,0,0,3
2841,False,1,False,4,1.0,True,False,True,4,0,1,1,0,0,1
