,age_upon_intake,sterilized_upon_intake,age_upon_outcome,sterilized_upon_outcome,is_dog,col2_ec,in_type_ec,in_cond_ec,out_type_ec
8089,2,False,2.0,True,True,3,0,0,3
8090,1,False,1.0,True,True,0,0,0,1
8091,2,True,2.0,True,False,1,0,0,1
8092,1,False,1.0,False,True,2,0,0,0
8093,3,True,3.0,True,True,3,1,0,3
8094,3,False,3.0,False,True,0,0,0,0
8095,3,False,3.0,True,True,0,0,0,1
8096,8,True,8.0,True,True,0,0,0,0
8097,4,True,5.0,True,False,0,1,0,1
8098,0,False,0.0,True,True,2,0,0,1
8099,3,False,4.0,True,True,3,0,0,1
8100,1,True,1.0,True,True,3,1,0,1
8101,3,True,3.0,True,True,3,0,0,0
8102,0,False,0.0,True,True,0,0,0,1
8103,1,False,1.0,False,False,0,0,0,3
8104,0,False,0.0,True,True,2,0,0,1
8105,9,False,9.0,False,True,0,0,0,0
8106,1,False,1.0,True,True,0,0,0,1
8107,6,True,6.0,True,True,0,1,0,1
8108,1,False,1.0,False,True,0,0,0,3
8109,4,True,6.0,True,True,0,1,0,0
8110,0,False,0.0,False,True,0,1,0,3
8111,2,True,2.0,True,True,3,0,0,1
8112,1,False,1.0,False,True,3,0,0,3
8113,4,True,4.0,True,True,0,1,0,1
8114,1,True,1.0,True,False,2,0,1,4
8115,1,False,1.0,True,False,0,0,0,1
8116,1,False,1.0,True,True,3,0,0,1
8117,2,False,2.0,True,True,3,0,0,1
8118,1,True,1.0,True,True,2,0,0,0
8119,3,True,3.0,True,False,1,0,0,1
8120,6,True,6.0,True,False,0,1,0,3
8121,1,False,1.0,False,True,2,0,0,3
8122,1,False,1.0,True,True,2,0,0,3
8123,3,False,3.0,False,False,0,0,0,3
8124,2,False,2.0,False,True,2,0,0,0
8125,1,False,1.0,True,False,2,0,0,1
8126,1,False,0.0,True,True,3,0,0,1
8127,8,True,8.0,True,False,4,2,0,0
8128,2,False,2.0,True,True,0,0,0,1
8129,1,False,1.0,True,True,2,0,0,0
8130,3,True,3.0,True,True,3,2,0,0
8131,2,True,2.0,True,True,2,0,0,0
8132,1,False,1.0,True,True,2,0,0,3
8133,2,False,2.0,False,True,0,0,0,0
8134,2,False,2.0,True,True,3,0,0,3
8135,0,True,0.0,True,False,2,1,0,1
8136,1,True,1.0,True,True,0,0,0,0
